CHAR,CHAR_UPPER_CASE,LATIN,ORDER,AUDIO_FILENAME,AUDIO_SOURCE,AUDIO_RECORDER
p,,,1,,,
p̓,,p' p’,2,,,
t,,,3,,,
t̕,,t' t’,4,,,
k,,,5,,,
kʷ,,kw,6,,,
k̓ʷ,,kw' kw’,7,,,
q,,,8,,,
q̓,,q' q’,9,,,
qʷ,,qw,10,,,
q̓ʷ,,qw' qw’,11,,,
ʔ,,’ ',12,,,
t̕ᶿ,,tth' tth’ tth,13,,,
c,,c ts,14,,,
c̓,,c' ts’ ts',15,,,
ƛ̓,,tl' tl’,17,,,
θ,,th,18,,,
s,,,19,,,
š,,sh,20,,,
ł,,lh ɬ,21,,,
x,,h,22,,,
xʷ,,hw xw,23,,,
x̌,,x,24,,,
x̌ʷ,,xw,25,,,
h,,,26,,,
m,,,27,,,
m̓,,m' m’,28,,,
n,,,29,,,
n̓,,n' n’,30,,,
l,,,31,,,
l̕,,l' l’,32,,,
y,,,33,,,
y̓,,y' y’,34,,,
w,,,35,,,
w̓,,w' w’,36,,,
i,,,37,,,
i:,,ii,38,,,
e,,,39,,,
e:,,ee,40,,,
u,,,41,,,
u:,,uu oo,42,,,
o:,,uw o,43,,,
a,,,44,,,
a:,,aa,45,,,
ə,,u,46,,,